,epoch,training_loss,training_accuracy,training_precision,training_auc,valid_loss,valid_accuracy,valid_precision,valid_auc
108,109,0.10890469580867371,0.96420276,0.95085806,0.9870244709531707,0.2074020509063227,0.9143546,0.8231884,0.9775224075574702
109,110,0.10891372692969889,0.9643394,0.95693403,0.9872648198153684,0.24297744849532735,0.89143544,0.77868855,0.9746328098830065
110,111,0.10206345898626175,0.9661156,0.9564364,0.9879599521426483,0.1925557018229592,0.91797346,0.83832335,0.980911082466204
111,112,0.10540671844095448,0.9648859,0.95236236,0.988029194623194,0.20166834714329285,0.91797346,0.82848835,0.9768739034528082
112,113,0.10100221843996332,0.96543247,0.95349747,0.9891962169955617,0.21628612316965123,0.907117,0.8056338,0.9795028519773137
113,114,0.10811779703112724,0.96420276,0.95191556,0.98645795145574,0.19826058213418155,0.9143546,0.82890856,0.9779865238079017
114,115,0.10159981147158234,0.967072,0.95763046,0.9887793534547482,0.1813635569811766,0.9215923,0.8480243,0.982328848756191
115,116,0.09495566088911378,0.9662522,0.9571709,0.9895942920560491,0.17384589471336367,0.92400485,0.85106385,0.980545488977552
116,117,0.09821087586212345,0.9680284,0.96135646,0.9888457492388362,0.22116734664010915,0.8986731,0.7949438,0.9701633850243527
117,118,0.09621897980167166,0.96912146,0.9564541,0.9899692318814085,0.19859187589875177,0.9155609,0.8236994,0.9759392910603703
118,119,0.09158551424941777,0.9667987,0.95545137,0.9919793207810931,0.14948369225821895,0.94571775,0.89776355,0.9840994072775765
119,120,0.09863809682021646,0.9669354,0.95475817,0.9884422103389909,0.19997159701707998,0.920386,0.8313953,0.9776813612202341
120,121,0.0900704994365575,0.9732204,0.9673742,0.9909652724222959,0.18351626056004922,0.9215923,0.8438438,0.9758408043833022
121,122,0.09586726820338398,0.96830165,0.9559969,0.9886678976000445,0.18982130196507216,0.9252111,0.8493976,0.9758789798887266
122,123,0.0883974213878942,0.96925807,0.9622196,0.9910713364378875,0.16633983747752787,0.9372738,0.88782054,0.977856193217949
123,124,0.08635086566146169,0.9704878,0.9616288,0.9916100856699371,0.19370019510478248,0.91917974,0.83480823,0.9747726580893681
124,125,0.092047665060897,0.96857494,0.958888,0.9905283908644522,0.18287844724944188,0.92641735,0.85196376,0.9772457962746766
125,126,0.08587356951061755,0.972264,0.96146363,0.9910161915855326,0.18806927721268882,0.91797346,0.83431953,0.9759075307637625
126,127,0.07663031917091849,0.9764995,0.9673152,0.9928466212193183,0.22792870772438545,0.9022919,0.7966574,0.9738762208483712
127,128,0.07761154213022124,0.97445005,0.96932757,0.9919939048269744,0.20322367910686678,0.90591073,0.8033708,0.975290806419766
128,129,0.08249237466324083,0.9725372,0.96841687,0.9915447361489881,0.15095451424758885,0.94692403,0.9139073,0.977261732487019
129,130,0.08032869154818724,0.97363025,0.96631414,0.9910968787968877,0.1882387388214487,0.920386,0.8372781,0.9775033095310949
130,131,0.0828155270018104,0.9718541,0.9654088,0.9900692440754171,0.19120079368820236,0.920386,0.8372781,0.9746423549217094
131,132,0.08255993688521313,0.9725372,0.96474737,0.9904396504381096,0.16192636110418812,0.93124247,0.873817,0.9770392272353343
132,133,0.07896550916632085,0.97390354,0.95986104,0.9924281371433104,0.16119781704518418,0.9348613,0.87974685,0.9796395059349496
133,134,0.07262496663045485,0.9769094,0.97027767,0.9938011992390008,0.16274171381901198,0.93244874,0.8742138,0.9810540424623323
134,135,0.07387974634659691,0.9729471,0.96588236,0.9927172123008748,0.1446044547135062,0.93968636,0.8961039,0.9815818206896386
135,136,0.0737980779606255,0.97431344,0.96492594,0.9929775635396451,0.17109185517445405,0.9300362,0.8597561,0.9782090397115122
136,137,0.06969428752258996,0.97485995,0.97047246,0.9933884280981808,0.1593865177384044,0.9360675,0.8825397,0.9785555652626204
137,138,0.07712486502087762,0.9732204,0.9677419,0.9916925501074806,0.149195694740956,0.9372738,0.89032257,0.9807998127663664
138,139,0.06236000431907427,0.9774559,0.967767,0.9953667190622254,0.15905590030949998,0.9360675,0.884984,0.9774619990292992
139,140,0.0661771024916688,0.9778658,0.9710938,0.9940277344941798,0.1576400510427532,0.94089264,0.89644015,0.9748331126617841
140,141,0.06497921715543327,0.9769094,0.9728667,0.9937060992887379,0.144783931978685,0.9445115,0.9025974,0.9826498524365134
141,142,0.06738261449858109,0.9764995,0.97024274,0.9938857226040386,0.1396173005620303,0.94813025,0.9225589,0.9771663224310743
142,143,0.06454281597753878,0.9775926,0.9740362,0.9946510078430769,0.13773400056545496,0.9493365,0.9285714,0.9758344179852187
143,144,0.0681011271633107,0.97841233,0.9737255,0.9927866938300988,0.14827816889355064,0.9445115,0.8974359,0.9810604652859544
144,145,0.05599616784028519,0.98141825,0.9791667,0.9954775543756491,0.14231390498951527,0.9420989,0.90460527,0.9813720184061135
145,146,0.060809759550511204,0.98018855,0.9720171,0.9947858635739706,0.15819772497376716,0.9348613,0.8726708,0.9790864075282489
146,147,0.06098473472473628,0.9795054,0.9734375,0.9945185798823315,0.13580277269375843,0.9433052,0.8945687,0.9829455147790909
147,148,0.055551750820080736,0.9816915,0.9795597,0.9944779698684658,0.15577161677891727,0.9360675,0.8753894,0.9794837484407173
148,149,0.06380351453643912,0.98046184,0.9772281,0.9912183717788765,0.15464540987766479,0.9372738,0.8757764,0.9769533681393464
149,150,0.054807241293288025,0.9816915,0.97581905,0.9958301609605605,0.1467475692558454,0.94571775,0.89776355,0.9785237485230264
